bonden i himlen den
i himlen den stjålne
himlen den stjålne toøre
den stjålne toøre det
stjålne toøre det syngende
toøre det syngende ben
det syngende ben det
syngende ben det uartige
ben det uartige barn
det uartige barn kongen
uartige barn kongen af
barn kongen af det
kongen af det gyldne
af det gyldne bjerg
det gyldne bjerg manden
gyldne bjerg manden der
bjerg manden der blev
manden der blev ung
der blev ung igen
blev ung igen mester
ung igen mester syl
igen mester syl skrædderen
mester syl skrædderen i
syl skrædderen i himlen
