language	tales	animal	realistic	magic	religious	ogre	jokes	formula
Italian	279	18	7	70	8	1	23	5
 	147596	9892	8308	100809	2626	1169	23302	1490
Hungarian	585	5	0	16	0	0	3	0
 	30162	2982	0	24695	0	0	2485	0
French	610	31	3	57	5	0	11	2
 	156404	12784	4780	122476	2960	0	12760	644
Dutch	178	24	0	12	1	0	5	0
 	39399	4899	0	25483	274	0	8743	0
Russian	574	19	2	17	0	0	1	0
 	36048	6650	3698	25542	0	0	158	0
Danish	325	21	8	82	9	2	25	5
 	186318	13409	9640	127744	5891	1863	26151	1620
Czech	193	10	0	4	0	0	0	0
 	9514	1836	0	7678	0	0	0	0
German	445	32	10	132	12	4	29	7
 	341307	16585	13674	268087	7376	2561	31151	1873
English	901	78	14	178	7	7	46	12
 	541497	29170	19736	410970	5218	4690	64453	7260
Polish	289	18	4	56	11	1	9	3
 	118842	7821	4068	92192	4917	263	8701	880
Spanish	591	28	12	97	14	3	27	6
 	234456	15186	16788	160618	8588	2340	29070	1866
